id,name,height,weight,base_experience,types,abilities,hp,attack,defense,speed,image_url
20,raticate,7,185,145,['normal'],"['run-away', 'guts', 'hustle']",55,81,60,97,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png
21,spearow,3,20,52,"['normal', 'flying']","['keen-eye', 'sniper']",40,60,30,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png
22,fearow,12,380,155,"['normal', 'flying']","['keen-eye', 'sniper']",65,90,65,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png
23,ekans,20,69,58,['poison'],"['intimidate', 'shed-skin', 'unnerve']",35,60,44,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png
24,arbok,35,650,157,['poison'],"['intimidate', 'shed-skin', 'unnerve']",60,95,69,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png
25,pikachu,4,60,112,['electric'],"['static', 'lightning-rod']",35,55,40,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png
26,raichu,8,300,243,['electric'],"['static', 'lightning-rod']",60,90,55,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png
27,sandshrew,6,120,60,['ground'],"['sand-veil', 'sand-rush']",50,75,85,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png
28,sandslash,10,295,158,['ground'],"['sand-veil', 'sand-rush']",75,100,110,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png
29,nidoran-f,4,70,55,['poison'],"['poison-point', 'rivalry', 'hustle']",55,47,52,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png
30,nidorina,8,200,128,['poison'],"['poison-point', 'rivalry', 'hustle']",70,62,67,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png
31,nidoqueen,13,600,253,"['poison', 'ground']","['poison-point', 'rivalry', 'sheer-force']",90,92,87,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png
32,nidoran-m,5,90,55,['poison'],"['poison-point', 'rivalry', 'hustle']",46,57,40,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png
33,nidorino,9,195,128,['poison'],"['poison-point', 'rivalry', 'hustle']",61,72,57,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png
34,nidoking,14,620,253,"['poison', 'ground']","['poison-point', 'rivalry', 'sheer-force']",81,102,77,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png
35,clefairy,6,75,113,['fairy'],"['cute-charm', 'magic-guard', 'friend-guard']",70,45,48,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png
36,clefable,13,400,242,['fairy'],"['cute-charm', 'magic-guard', 'unaware']",95,70,73,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png
37,vulpix,6,99,60,['fire'],"['flash-fire', 'drought']",38,41,40,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png
38,ninetales,11,199,177,['fire'],"['flash-fire', 'drought']",73,76,75,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png
39,jigglypuff,5,55,95,"['normal', 'fairy']","['cute-charm', 'competitive', 'friend-guard']",115,45,20,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png
40,wigglytuff,10,120,218,"['normal', 'fairy']","['cute-charm', 'competitive', 'frisk']",140,70,45,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png
41,zubat,8,75,49,"['poison', 'flying']","['inner-focus', 'infiltrator']",40,45,35,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png
42,golbat,16,550,159,"['poison', 'flying']","['inner-focus', 'infiltrator']",75,80,70,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png
43,oddish,5,54,64,"['grass', 'poison']","['chlorophyll', 'run-away']",45,50,55,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png
44,gloom,8,86,138,"['grass', 'poison']","['chlorophyll', 'stench']",60,65,70,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png
45,vileplume,12,186,245,"['grass', 'poison']","['chlorophyll', 'effect-spore']",75,80,85,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png
46,paras,3,54,57,"['bug', 'grass']","['effect-spore', 'dry-skin', 'damp']",35,70,55,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png
47,parasect,10,295,142,"['bug', 'grass']","['effect-spore', 'dry-skin', 'damp']",60,95,80,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png
48,venonat,10,300,61,"['bug', 'poison']","['compound-eyes', 'tinted-lens', 'run-away']",60,55,50,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png
49,venomoth,15,125,158,"['bug', 'poison']","['shield-dust', 'tinted-lens', 'wonder-skin']",70,65,60,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png
50,diglett,2,8,53,['ground'],"['sand-veil', 'arena-trap', 'sand-force']",10,55,25,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png
51,dugtrio,7,333,149,['ground'],"['sand-veil', 'arena-trap', 'sand-force']",35,100,50,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png
52,meowth,4,42,58,['normal'],"['pickup', 'technician', 'unnerve']",40,45,35,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png
53,persian,10,320,154,['normal'],"['limber', 'technician', 'unnerve']",65,70,60,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png
54,psyduck,8,196,64,['water'],"['damp', 'cloud-nine', 'swift-swim']",50,52,48,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png
55,golduck,17,766,175,['water'],"['damp', 'cloud-nine', 'swift-swim']",80,82,78,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png
56,mankey,5,280,61,['fighting'],"['vital-spirit', 'anger-point', 'defiant']",40,80,35,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png
57,primeape,10,320,159,['fighting'],"['vital-spirit', 'anger-point', 'defiant']",65,105,60,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png
58,growlithe,7,190,70,['fire'],"['intimidate', 'flash-fire', 'justified']",55,70,45,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png
59,arcanine,19,1550,194,['fire'],"['intimidate', 'flash-fire', 'justified']",90,110,80,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png
60,poliwag,6,124,60,['water'],"['water-absorb', 'damp', 'swift-swim']",40,50,40,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png
61,poliwhirl,10,200,135,['water'],"['water-absorb', 'damp', 'swift-swim']",65,65,65,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png
62,poliwrath,13,540,255,"['water', 'fighting']","['water-absorb', 'damp', 'swift-swim']",90,95,95,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png
63,abra,9,195,62,['psychic'],"['synchronize', 'inner-focus', 'magic-guard']",25,20,15,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png
64,kadabra,13,565,140,['psychic'],"['synchronize', 'inner-focus', 'magic-guard']",40,35,30,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png
65,alakazam,15,480,250,['psychic'],"['synchronize', 'inner-focus', 'magic-guard']",55,50,45,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png
66,machop,8,195,61,['fighting'],"['guts', 'no-guard', 'steadfast']",70,80,50,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png
67,machoke,15,705,142,['fighting'],"['guts', 'no-guard', 'steadfast']",80,100,70,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png
68,machamp,16,1300,253,['fighting'],"['guts', 'no-guard', 'steadfast']",90,130,80,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png
69,bellsprout,7,40,60,"['grass', 'poison']","['chlorophyll', 'gluttony']",50,75,35,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png
70,weepinbell,10,64,137,"['grass', 'poison']","['chlorophyll', 'gluttony']",65,90,50,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png
71,victreebel,17,155,221,"['grass', 'poison']","['chlorophyll', 'gluttony']",80,105,65,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png
72,tentacool,9,455,67,"['water', 'poison']","['clear-body', 'liquid-ooze', 'rain-dish']",40,40,35,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png
73,tentacruel,16,550,180,"['water', 'poison']","['clear-body', 'liquid-ooze', 'rain-dish']",80,70,65,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png
74,geodude,4,200,60,"['rock', 'ground']","['rock-head', 'sturdy', 'sand-veil']",40,80,100,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/74.png
75,graveler,10,1050,137,"['rock', 'ground']","['rock-head', 'sturdy', 'sand-veil']",55,95,115,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/75.png
76,golem,14,3000,223,"['rock', 'ground']","['rock-head', 'sturdy', 'sand-veil']",80,120,130,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/76.png
77,ponyta,10,300,82,['fire'],"['run-away', 'flash-fire', 'flame-body']",50,85,55,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/77.png
78,rapidash,17,950,175,['fire'],"['run-away', 'flash-fire', 'flame-body']",65,100,70,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/78.png
79,slowpoke,12,360,63,"['water', 'psychic']","['oblivious', 'own-tempo', 'regenerator']",90,65,65,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/79.png
80,slowbro,16,785,172,"['water', 'psychic']","['oblivious', 'own-tempo', 'regenerator']",95,75,110,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/80.png
81,magnemite,3,60,65,"['electric', 'steel']","['magnet-pull', 'sturdy', 'analytic']",25,35,70,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/81.png
82,magneton,10,600,163,"['electric', 'steel']","['magnet-pull', 'sturdy', 'analytic']",50,60,95,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/82.png
83,farfetchd,8,150,132,"['normal', 'flying']","['keen-eye', 'inner-focus', 'defiant']",52,90,55,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/83.png
84,doduo,14,392,62,"['normal', 'flying']","['run-away', 'early-bird', 'tangled-feet']",35,85,45,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/84.png
85,dodrio,18,852,165,"['normal', 'flying']","['run-away', 'early-bird', 'tangled-feet']",60,110,70,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/85.png
86,seel,11,900,65,['water'],"['thick-fat', 'hydration', 'ice-body']",65,45,55,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/86.png
87,dewgong,17,1200,166,"['water', 'ice']","['thick-fat', 'hydration', 'ice-body']",90,70,80,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/87.png
88,grimer,9,300,65,['poison'],"['stench', 'sticky-hold', 'poison-touch']",80,80,50,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/88.png
89,muk,12,300,175,['poison'],"['stench', 'sticky-hold', 'poison-touch']",105,105,75,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/89.png
90,shellder,3,40,61,['water'],"['shell-armor', 'skill-link', 'overcoat']",30,65,100,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/90.png
91,cloyster,15,1325,184,"['water', 'ice']","['shell-armor', 'skill-link', 'overcoat']",50,95,180,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/91.png
92,gastly,13,1,62,"['ghost', 'poison']",['levitate'],30,35,30,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/92.png
93,haunter,16,1,142,"['ghost', 'poison']",['levitate'],45,50,45,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/93.png
94,gengar,15,405,250,"['ghost', 'poison']",['cursed-body'],60,65,60,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/94.png
95,onix,88,2100,77,"['rock', 'ground']","['rock-head', 'sturdy', 'weak-armor']",35,45,160,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/95.png
96,drowzee,10,324,66,['psychic'],"['insomnia', 'forewarn', 'inner-focus']",60,48,45,42,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/96.png
97,hypno,16,756,169,['psychic'],"['insomnia', 'forewarn', 'inner-focus']",85,73,70,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/97.png
98,krabby,4,65,65,['water'],"['hyper-cutter', 'shell-armor', 'sheer-force']",30,105,90,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/98.png
99,kingler,13,600,166,['water'],"['hyper-cutter', 'shell-armor', 'sheer-force']",55,130,115,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/99.png
100,voltorb,5,104,66,['electric'],"['soundproof', 'static', 'aftermath']",40,30,50,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/100.png
101,electrode,12,666,172,['electric'],"['soundproof', 'static', 'aftermath']",60,50,70,150,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/101.png
102,exeggcute,4,25,65,"['grass', 'psychic']","['chlorophyll', 'harvest']",60,40,80,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/102.png
103,exeggutor,20,1200,186,"['grass', 'psychic']","['chlorophyll', 'harvest']",95,95,85,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/103.png
104,cubone,4,65,64,['ground'],"['rock-head', 'lightning-rod', 'battle-armor']",50,50,95,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/104.png
105,marowak,10,450,149,['ground'],"['rock-head', 'lightning-rod', 'battle-armor']",60,80,110,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/105.png
106,hitmonlee,15,498,159,['fighting'],"['limber', 'reckless', 'unburden']",50,120,53,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/106.png
107,hitmonchan,14,502,159,['fighting'],"['keen-eye', 'iron-fist', 'inner-focus']",50,105,79,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/107.png
108,lickitung,12,655,77,['normal'],"['own-tempo', 'oblivious', 'cloud-nine']",90,55,75,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/108.png
109,koffing,6,10,68,['poison'],"['levitate', 'neutralizing-gas', 'stench']",40,65,95,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/109.png
110,weezing,12,95,172,['poison'],"['levitate', 'neutralizing-gas', 'stench']",65,90,120,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/110.png
111,rhyhorn,10,1150,69,"['ground', 'rock']","['lightning-rod', 'rock-head', 'reckless']",80,85,95,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/111.png
112,rhydon,19,1200,170,"['ground', 'rock']","['lightning-rod', 'rock-head', 'reckless']",105,130,120,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/112.png
113,chansey,11,346,395,['normal'],"['natural-cure', 'serene-grace', 'healer']",250,5,5,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/113.png
114,tangela,10,350,87,['grass'],"['chlorophyll', 'leaf-guard', 'regenerator']",65,55,115,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/114.png
115,kangaskhan,22,800,172,['normal'],"['early-bird', 'scrappy', 'inner-focus']",105,95,80,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/115.png
116,horsea,4,80,59,['water'],"['swift-swim', 'sniper', 'damp']",30,40,70,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/116.png
117,seadra,12,250,154,['water'],"['poison-point', 'sniper', 'damp']",55,65,95,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/117.png
118,goldeen,6,150,64,['water'],"['swift-swim', 'water-veil', 'lightning-rod']",45,67,60,63,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/118.png
119,seaking,13,390,158,['water'],"['swift-swim', 'water-veil', 'lightning-rod']",80,92,65,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/119.png
120,staryu,8,345,68,['water'],"['illuminate', 'natural-cure', 'analytic']",30,45,55,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/120.png
121,starmie,11,800,182,"['water', 'psychic']","['illuminate', 'natural-cure', 'analytic']",60,75,85,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/121.png
122,mr-mime,13,545,161,"['psychic', 'fairy']","['soundproof', 'filter', 'technician']",40,45,65,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/122.png
123,scyther,15,560,100,"['bug', 'flying']","['swarm', 'technician', 'steadfast']",70,110,80,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/123.png
124,jynx,14,406,159,"['ice', 'psychic']","['oblivious', 'forewarn', 'dry-skin']",65,50,35,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/124.png
125,electabuzz,11,300,172,['electric'],"['static', 'vital-spirit']",65,83,57,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/125.png
126,magmar,13,445,173,['fire'],"['flame-body', 'vital-spirit']",65,95,57,93,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/126.png
127,pinsir,15,550,175,['bug'],"['hyper-cutter', 'mold-breaker', 'moxie']",65,125,100,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/127.png
128,tauros,14,884,172,['normal'],"['intimidate', 'anger-point', 'sheer-force']",75,100,95,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/128.png
129,magikarp,9,100,40,['water'],"['swift-swim', 'rattled']",20,10,55,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/129.png
130,gyarados,65,2350,189,"['water', 'flying']","['intimidate', 'moxie']",95,125,79,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/130.png
131,lapras,25,2200,187,"['water', 'ice']","['water-absorb', 'shell-armor', 'hydration']",130,85,80,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/131.png
132,ditto,3,40,101,['normal'],"['limber', 'imposter']",48,48,48,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/132.png
133,eevee,3,65,65,['normal'],"['run-away', 'adaptability', 'anticipation']",55,55,50,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/133.png
134,vaporeon,10,290,184,['water'],"['water-absorb', 'hydration']",130,65,60,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/134.png
135,jolteon,8,245,184,['electric'],"['volt-absorb', 'quick-feet']",65,65,60,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/135.png
136,flareon,9,250,184,['fire'],"['flash-fire', 'guts']",65,130,60,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/136.png
137,porygon,8,365,79,['normal'],"['trace', 'download', 'analytic']",65,60,70,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/137.png
138,omanyte,4,75,71,"['rock', 'water']","['swift-swim', 'shell-armor', 'weak-armor']",35,40,100,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/138.png
139,omastar,10,350,173,"['rock', 'water']","['swift-swim', 'shell-armor', 'weak-armor']",70,60,125,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/139.png
140,kabuto,5,115,71,"['rock', 'water']","['swift-swim', 'battle-armor', 'weak-armor']",30,80,90,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/140.png
141,kabutops,13,405,173,"['rock', 'water']","['swift-swim', 'battle-armor', 'weak-armor']",60,115,105,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/141.png
142,aerodactyl,18,590,180,"['rock', 'flying']","['rock-head', 'pressure', 'unnerve']",80,105,65,130,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/142.png
143,snorlax,21,4600,189,['normal'],"['immunity', 'thick-fat', 'gluttony']",160,110,65,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/143.png
144,articuno,17,554,290,"['ice', 'flying']","['pressure', 'snow-cloak']",90,85,100,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/144.png
